"","NAME","B01001_007","B01001_008","B01001_009","B01001_010","B01001_011","B01001_031","B01001_032","B01001_033","B01001_034","B01001_035","B01003_001","youth_pop","youth_sharep"
"1","Alabama",64980,35870,35040,95065,165052,65837,35427,33548,93230,167570,4876250,791619,0.162341758523456
"2","Alaska",9746,6154,6029,19262,33136,7880,4003,4659,14355,29069,737068,134293,0.182198928728421
"3","Arizona",99160,53415,52100,149020,260409,95118,49240,48432,135938,240952,7050299,1183784,0.167905503014837
"4","Arkansas",41658,23070,21553,59319,100466,39493,20986,20550,56834,101534,2999370,485463,0.161854989547805
"5","California",529837,295438,285103,839739,1591508,508404,264323,265098,801866,1486984,39283497,6868300,0.174839322476815
"6","Colorado",76031,38961,38944,119820,229326,69757,35463,34961,109828,209736,5610349,962827,0.171616239916626
"7","Connecticut",52666,25439,25480,75282,113876,50883,25549,23831,69016,107227,3575074,569249,0.159227193618929
"8","Delaware",12405,6316,6371,17411,33367,12615,7365,5624,16137,33050,957248,150661,0.157389725546567
"9","District of Columbia",9643,5454,5185,13565,38104,12113,5834,5523,17320,44689,692683,157430,0.227275680217358
"10","Florida",248570,137718,131506,381473,711093,233376,132905,126974,360907,685703,20901636,3150225,0.150716671173491
"11","Georgia",149282,79395,74003,212984,370961,145658,71342,71424,206240,372643,10403847,1753932,0.168584947471834
"12","Hawaii",15908,10257,10735,31120,55319,14475,7077,8285,26594,49228,1422094,228998,0.161028736497025
"13","Idaho",23727,11826,12076,36283,58383,22710,12045,10752,31628,55987,1717750,275417,0.16033590452627
"14","Illinois",170240,87147,88649,261119,454276,161702,85549,83047,255353,443204,12770631,2090286,0.163679147882356
"15","Indiana",95812,50082,51500,142889,224782,91557,50112,48256,132511,220883,6665703,1108384,0.166281636010485
"16","Iowa",46381,24650,23975,68657,101316,44523,23792,22744,63264,97267,3139508,516569,0.164538201527118
"17","Kansas",41830,24281,24886,65199,100285,39974,21745,19517,59871,92836,2910652,490424,0.168492832533742
"18","Kentucky",59899,34221,31431,91799,152781,58441,32853,30181,81828,148803,4449052,722237,0.162335032272044
"19","Louisiana",61301,35386,33176,92537,171712,56468,34244,31734,91013,171239,4664362,778810,0.166970316626368
"20","Maine",16880,7754,7813,23696,39866,16024,8099,8143,20468,39601,1335492,188344,0.141029672959479
"21","Maryland",78990,40874,38650,115660,208364,76588,36441,36488,114467,206536,6018848,953058,0.158345583739613
